State,Site,Lat,Long,First_Growing_Season,age_at_survey,burn,last.burn,CEC,pH,OM_perc,Ca_perc,Mg_perc,K_perc,P_BrayI,N_perc,mayaug_precip,seedrichness,soilpc1,soilpc2,MPDwithin,MNTDwithin
Illinois_Nachusa,TCXX18,41.88313,-89.32526,2002,16,2018,0,6.7,6.24,1.98,57.48,30.56,7.64,8.2,2.029610392,13.07,55,0.195178433,-2.198642576,-0.185661091,-1.976851411
Illinois_Nachusa,WHXX17,41.87309,-89.35733,1992,25,2017,0,6.8,6.38,2.72,63.86,20.84,6.24,20,2.6,25.34,33,-0.055456011,-1.169251783,-0.401440197,-2.30341959
Illinois_Nachusa,WHXX18,41.87309,-89.35733,1992,26,2017,1,5.58,6.22,1.56,62.06,22.24,3.66,15.4,5.502326795,25.34,33,0.185519963,-1.008247611,-0.094344969,-1.542070011
Indiana,A2,41.1022315,-87.430622,2002,14,2010,5,10.6,5.8,2.97,56.32,13.99,2.03,29,0.15,13.77,64,0.381101356,1.214757348,1.039497999,-0.601261609
Indiana,A302,41.10325565,-87.43520416,1998,19,2011,4,7.28,6.1,2.64,60.85,16.48,2.68,57,0.17,16.74,23,0.311792073,0.279701139,-0.715276548,-1.309723418
Indiana,A4,41.1044885,-87.430429,1998,19,2011,4,9.7,6,2.72,61.55,14.35,1.8,13,0.16,16.74,23,-0.0357833,0.812275175,-0.977464361,-1.427810335
Indiana,ARR,41.1023515,-87.4471015,2002,14,2011,5,12.75,5.8,4.92,54.98,15.1,2.15,28,0.25,13.77,69,-0.29809628,1.976404606,-0.066759186,-1.680751732
Indiana,B1,41.0872565,-87.4177895,2001,16,2014,1,2.6,6.5,0.68,64.62,17.31,1.78,29,0.025,18.12,40,0.385092158,-0.959482996,0.377759878,-1.138341521
Indiana,B2,41.087125,-87.4239915,2001,16,2014,1,2.19,6.4,0.72,63.7,15.22,2.46,11,0.025,18.12,40,0.62822362,-0.931095763,-2.542037965,-0.303266894
Indiana,B3,41.09136,-87.4131775,2003,13,2014,1,4.11,6.1,1.16,57.79,16.83,3.81,176,0.06,25.18,115,1.793702882,-0.503933458,0.640890246,-1.586164787
Indiana,B4,41.092264,-87.4236065,2003,13,2014,1,7.59,5.9,3.44,58.83,13.72,2.57,66,0.12,25.18,115,0.504129966,0.984944772,-0.241445018,-1.970695514
Indiana,C1,41.084924,-87.399285,2008,8,2013,3,3.35,5.4,1.22,40.9,11.19,5.13,306,0.06,1.6,155,4.327641833,0.592610288,-1.131709592,-1.262446779
Indiana,C2,41.085627,-87.4001275,2006,10,2013,3,5.08,5.7,1.76,50.79,12.47,3.94,400,0.17,20.23,136,3.572660732,0.784411974,-0.066343955,-0.384843044
Indiana,C3,41.0848975,-87.409178,2006,10,2013,3,12.08,6,3.77,60.18,15.52,2.61,61,0.2,20.23,136,-0.159264009,1.177022653,0.376276485,-1.355454661
Indiana,C4,41.084031,-87.4025535,2006,10,2013,3,7.28,6.1,3.34,61.74,15.57,2.96,128,0.16,20.23,136,0.496310508,0.597111159,0.335594733,-1.906848513
Indiana,ConradN,41.110152,-87.4402025,2001,16,2002,14,5.98,5.8,2.6,51.59,17,2.66,39,0.12,18.12,.,1.004351018,0.544988631,0.110958411,-1.130795679
Indiana,D1,41.0931975,-87.430132,2007,9,2012,4,4.63,5.8,1.72,54,13.14,3.82,379,0.09,14.62,156,3.220997796,0.546565941,-1.92304176,-1.93138801
Indiana,E1,41.058609,-87.4525035,2014,2,.,2,2.92,6.8,0.72,66.44,19.98,1.93,15,0.025,19.01,78,-0.174929675,-1.392745637,0.492450039,0.57677308
Indiana,F1,41.064163,-87.4307855,2006,10,.,2,4.12,7.8,0.56,64.32,28.32,1.31,20,0.025,20.23,136,-1.40596645,-2.339596085,-1.529443324,-2.192853364
Indiana,FRR,41.0706935,-87.4465615,2005,12,2014,2,3.65,6.7,0.67,71.23,15.07,1.69,42,0.025,11.35,97,-0.009803901,-0.991738579,0.544939223,-0.314399174
Indiana,FRRE,41.0703215,-87.443999,2006,10,2014,2,2.8,5.3,0.8,39.29,11.9,2.38,61,0.025,20.23,136,3.095045718,0.769052595,-2.349974456,-1.465560956
Indiana,H1,41.0646005,-87.411942,2002,14,2011,4,3.54,5.6,0.95,49.86,10.12,3.4,74,0.06,13.77,86,2.499988808,0.312018996,0.130518995,-1.025869617
